고객번호,주소,지역,도시,담당자명,고객회사명,담당자직위,마일리지,전화번호
OUTAR,남구 연수동 208-16,,인천광역시,문인수,엘에이플러스,영업 사원,6851,(032)976-4568
PRDSU,용산구서빙고동 111-16,,서울특별시,한현구,황인터프라이시스,회계 과장,116898,(02)934-1984
REPME,경현동 160,전라남도,나주시,김동진,시아 통상,마케팅 담당,3873,(061)3450-3400
RGKMO,종로구 송월동 101,,서울특별시,김민준,원양물산,마케팅 담당,1092,(02)402-1092
RGSBE,서구 도마동 110-6,,대전광역시,박건희,탑푸드코리아,영업 과장,57746,(042)92-3778
RIBFU,갈현동 232-8,경기도,과천시,김지은,대림에스엠,영업 과장,1064,(02)421-9238
RICPE,금정구 청룡동 168-14,,부산광역시,김지호,뉴가든상사,영업 사원,1177,(051)12-1122
RISPA,송파구 잠실본동 150,,서울특별시,김정현,한림통상,대표 이사,6942,(02)909-2094
RTHWA,야탑동 77,경기도,성남시,박규민,국일식품,회계 과장,733,(0342)57-1934
RTSNO,양천구 신정 3동 241-16,,서울특별시,김보연,지안 통상,영업 사원,793,(02)901-8956
RTUTO,양천구 신정 1동 1041-21,,서울특별시,김동호,오트리푸드,대표 이사,374,(02)555-2933
SSAFI,동구 마산동 250-1,,대전광역시,정수환,대동 무역,회계 과장,975,(042)33-3433
STCEA,무릉동 171-3,충청남도,공주시,임재민,오케이식품,영업 사원,416,(046)487-4971
TIKOT,호계동 11,경기도,안양시,김유희,티알아이,대표 이사,113,(0343)988-1039
TONAN,강서구 내발산동 318,,서울특별시,김정원,그린무역,대표 이사,1213,(02)989-9889
TSSLE,남동구 동춘동 78-6,경기도,의정부시,주현욱,프레시코,대표 이사,712,(0351)66-2911
TTCRA,은행동 425-12,경기도,시흥시,송지윤,허브민트,영업 사원,892,(02)565-1901
TTMBO,사하구 신평동 701-29,,부산광역시,안수인,컬러헬스푸드,회계 과장,7329,(051)845-9483
TTRAN,동작구 흑석동 220-12,,서울특별시,김희원,해피트리푸드,영업 과장,448,(02)756-9787
UGBLA,강서구 등촌동 106-3,,서울특별시,이승권,금진 무역,영업 사원,7296,(02)894-1111
URLGO,태평 3동 120-1,경기도,성남시,김하경,유호무역 ,영업 사원,865,(034)877-7778
VEASA,강정동 718-1,제주도,서귀포시,장시현,코림푸드,영업 사원,1013,(064)77-2091
VESSE,동대문구 전농 1동 742-3,,서울특별시,전혜연,태성무역,영업 과장,414,(02)106-2841
ZYKLA,학성동 18,강원도,원주시,장재성,길드 통상,마케팅 과장,261,(037)978-1911
